URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName
20264,209,Lewisham,,Bellingham Children's Centre,Children's centre,Open,21-02-2006,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,109a Randlesdown Road,,,Bellingham,Not applicable,SE6 3HB,,020-8695-6236,,Val,Pope
20769,209,Lewisham,,Clyde Early Childhood Centre,Children's centre,Open,01-10-2004,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,Clyde Early Childhood Centre,Alverton Street,,Deptford,Not applicable,SE8 5NH,,020-8692-3653,,Cathryn,Kinsey
20976,209,Lewisham,,Downderry Children's Centre,Children's centre,Open,29-02-2008,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,Shroffold Road,,,Downham,Not applicable,BR1 5PD,,020-8695-5915,,Tracey,Lewis
21080,209,Lewisham,,Eliot Bank Children's Centre,Children's centre,Open,28-03-2008,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,Eliot Bank School,Thorpewood Ave,,Sydenham,Not applicable,SE26 4BU,,020-8613-0172,,Kim,Ward
21645,209,Lewisham,,Kelvin Grove Children's Centre,Children's centre,Open,28-03-2008,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,Kirkdale,,,Sydenham,Not applicable,SE26 6BB,,0208-8613-0172,,Kim,Ward
21729,209,Lewisham,,Ladywell Children's Centre,Children's centre,Open,29-10-2007,,Not applicable,,,,Not applicable,Not applicable,,,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,,,Ladywell Children's Centre,30 Rusheymead,,Ladywell,Not applicable,SE4 1JJ,,7814968444,,Val,Pope
100203,209,Lewisham,6294,Heath House Preparatory School,Other independent school,Open,11-11-1993,,Not applicable,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,Inter- / non- denominational,Not applicable,Non-selective,Not applicable,,Not applicable,,Not applicable,,10079113,Not applicable,37 Wemyss Road,Blackheath,,London,,SE3 0TG,www.heathhouseprepschool.com,2082971900,Mrs,Sophia,Laslett
100667,209,Lewisham,1002,Clyde Nursery School.,Local authority nursery school,Open,,,Nursery,3,5,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,,Not applicable,Alverton Street,Deptford,,London,,SE8 5NH,http://www.clydenurseryschool.co.uk,2086923653,Miss,Cathryn,Kinsey
100668,209,Lewisham,1011,Chelwood Nursery School,Local authority nursery school,Open,,,Nursery,3,5,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,,Not applicable,Chelwood Walk,Turnham Road,Brockley,London,,SE4 2QQ,,2076392514,Ms,Nicola,Oldhams
100671,209,Lewisham,2000,Adamsrill Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10072921,Not applicable,Adamsrill Road,Sydenham,,London,,SE26 4AQ,www.adamsrill.lewisham.sch.uk,2086998548,Dr,Increase,Eko
100672,209,Lewisham,2023,Athelney Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The King Alfred Federation,10074647,Not applicable,Athelney Street,,,London,,SE6 3LD,www.athelneyprimary.org.uk,2086972945,Ms,K,Wong
