Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
2542,Barking and Dagenham,St Peter's Catholic Primary School,40.6,Voluntary Aided School,Primary
2407,Barking and Dagenham,St Joseph's Catholic Primary School,39.6,Voluntary Aided School,Primary
2326,Barking and Dagenham,Ripple Primary School,39.1,Community School,Primary
2309,Barking and Dagenham,SHC School,39,Other Independent School,Not applicable
2124,Barking and Dagenham,Northbury Primary School,37.9,Community School,Primary
2102,Barking and Dagenham,St Margarets CofE Primary School,37.8,Voluntary Aided School,Primary
2009,Barking and Dagenham,Goresbrook School,37.3,Free Schools,All Through
1801,Barking and Dagenham,Lady Aisha Academy,36,Other Independent School,Not applicable
1705,Barking and Dagenham,Eastbury Primary School,35.5,Community School,Primary
1660,Barking and Dagenham,The Warren School,35.3,Academy Sponsor Led,Secondary
1484,Barking and Dagenham,Gascoigne Primary School,34.3,Community School,Primary
1413,Barking and Dagenham,Furze Infants' School,33.9,Community School,Primary
1292,Barking and Dagenham,Robert Clack School,33.4,Community School,Secondary
1244,Barking and Dagenham,Marsh Green Primary School,33.2,Community School,Primary
1243,Barking and Dagenham,Jo Richardson Community School,33.2,Community School,Secondary
1206,Barking and Dagenham,Henry Green Primary School,33,Community School,Primary
1118,Barking and Dagenham,Parsloes Primary School,32.6,Community School,Primary
1117,Barking and Dagenham,Hopewell School (Harmony House),32.6,Other Independent Special School,Not applicable
1088,Barking and Dagenham,Eastbury Community School,32.5,Community School,All Through
1054,Barking and Dagenham,The Sydney Russell School,32.3,Academy Converter,Secondary
1028,Barking and Dagenham,Five Elms Primary School,32.2,Community School,Primary
956,Barking and Dagenham,Warren Junior School,31.9,Community School,Primary
955,Barking and Dagenham,Roding Primary School,31.9,Community School,Primary
934,Barking and Dagenham,Monteagle Primary School,31.8,Community School,Primary
921,Barking and Dagenham,The St Teresa Catholic Primary School,31.7,Voluntary Aided School,Primary
893,Barking and Dagenham,Elutec,31.5,University Technical College,Secondary
838,Barking and Dagenham,Southwood Primary School,31.2,Community School,Primary
837,Barking and Dagenham,Dorothy Barley Junior Academy,31.2,Academy Sponsor Led,Primary
784,Barking and Dagenham,Dorothy Barley Infants' School,30.9,Community School,Primary
783,Barking and Dagenham,Thames View Infants' School,30.9,Academy Converter,Primary
782,Barking and Dagenham,Thames View Junior School,30.9,Academy Sponsor Led,Primary
740,Barking and Dagenham,Manor Junior School,30.7,Community School,Primary
739,Barking and Dagenham,Manor Infants' School/Manor Longbridge,30.7,Community School,Primary
738,Barking and Dagenham,William Bellamy Primary School,30.7,Community School,Primary
737,Barking and Dagenham,"Barking Abbey School, A Specialist Sports and Humanities College",30.7,Community School,Secondary
648,Barking and Dagenham,The James Cambell Primary School,30.3,Community School,Primary
623,Barking and Dagenham,Trinity School,30.2,Community Special School,Not applicable
622,Barking and Dagenham,Riverside Primary School,30.2,Free Schools,Primary
621,Barking and Dagenham,Riverside Bridge School,30.2,Free Schools Special,Not applicable
602,Barking and Dagenham,Thomas Arnold Primary School,30.1,Community School,Primary
588,Barking and Dagenham,Barking and Dagenham Tuition Service,30,Pupil Referral Unit,Not applicable
572,Barking and Dagenham,Valence Primary School,29.9,Community School,Primary
571,Barking and Dagenham,Riverside School,29.9,Free Schools,Secondary
555,Barking and Dagenham,Eastbrook School,29.8,Community School,Secondary
525,Barking and Dagenham,Godwin Primary School,29.7,Community School,Primary
513,Barking and Dagenham,Village Infants' School,29.6,Community School,Primary
512,Barking and Dagenham,William Ford CofE Primary School,29.6,Voluntary Aided School,Primary
494,Barking and Dagenham,Rush Green Primary School,29.5,Community School,Primary
493,Barking and Dagenham,St Vincent's Catholic Primary School,29.5,Voluntary Aided School,Primary
467,Barking and Dagenham,George Carey Church of England Primary School,29.4,Voluntary Aided School,Primary
369,Barking and Dagenham,Beam Primary School,28.8,Community School,Primary
368,Barking and Dagenham,Becontree Primary School,28.8,Community School,Primary
367,Barking and Dagenham,St Joseph's Catholic Primary School,28.8,Voluntary Aided School,Primary
354,Barking and Dagenham,Dagenham Park CofE School,28.7,Voluntary Controlled School,Secondary
341,Barking and Dagenham,All Saints Catholic School and Technology College,28.6,Voluntary Aided School,Secondary
340,Barking and Dagenham,Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,28.6,Community School,Primary
339,Barking and Dagenham,Barking and Dagenham College,28.6,Further Education,16 Plus
322,Barking and Dagenham,The Leys Primary School,28.4,Community School,Primary
310,Barking and Dagenham,Grafton Primary School,28.3,Community School,Primary
241,Barking and Dagenham,Hunters Hall Primary School,27.8,Community School,Primary
212,Barking and Dagenham,John Perry Primary School,27.5,Community School,Primary
181,Barking and Dagenham,Marks Gate Junior School,27.1,Community School,Primary
160,Barking and Dagenham,Marks Gate Infants' School,26.7,Community School,Primary
3163,Barnet,Wentworth Tutorial College,52,Other Independent School,Not applicable
3060,Barnet,Beis Soroh Schneirer,47.8,Other Independent School,Not applicable
3047,Barnet,Rhodes Farm School,47.5,Other Independent School,Not applicable
3027,Barnet,Torah Vodaas,47.1,Other Independent School,Not applicable
2996,Barnet,Mapledown School,46.5,Community Special School,Not applicable
2981,Barnet,St Joseph's Catholic Primary School,46.1,Voluntary Aided School,Primary
2938,Barnet,Ayesha Community School,45.1,Other Independent School,Not applicable
2937,Barnet,Unity Girls High School,45.1,Other Independent School,Not applicable
2900,Barnet,Beis Medrash Elyon,44.7,Other Independent School,Not applicable
2776,Barnet,Wessex Gardens Primary School,43.1,Community School,Primary
2587,Barnet,Whitefield School,41,Academy Converter,Secondary
2559,Barnet,Tudor Primary School,40.7,Community School,Primary
2541,Barnet,Beis Yaakov Primary School,40.6,Voluntary Aided School,Primary
2474,Barnet,Hasmonean Primary School,40.1,Voluntary Aided School,Primary
2459,Barnet,The Orion Primary School,40,Community School,Primary
2406,Barnet,Golders Hill School,39.6,Other Independent School,Not applicable
2374,Barnet,All Saints' CofE Primary School NW2,39.4,Voluntary Aided School,Primary
2308,Barnet,St Agnes RC School,39,Voluntary Aided School,Primary
2212,Barnet,Brampton College,38.4,Other Independent School,Not applicable
2191,Barnet,Ambitious College (Grahame Park Campus),38.3,Special Post 16 Institution,16 Plus
2177,Barnet,Pardes House Grammar School,38.2,Other Independent School,Not applicable
2176,Barnet,Pardes House Primary School,38.2,Voluntary Aided School,Primary
2175,Barnet,Limespring School,38.2,Other Independent Special School,Not applicable
2158,Barnet,Kisharon Day School,38.1,Other Independent Special School,Not applicable
2138,Barnet,Holland House School,38,Other Independent School,Not applicable
2123,Barnet,St Paul's CofE Primary School N11,37.9,Voluntary Aided School,Primary
2122,Barnet,Dwight School London,37.9,Other Independent School,Not applicable
2085,Barnet,The Hyde School,37.7,Academy Sponsor Led,Primary
2008,Barnet,Our Lady of Lourdes RC School,37.3,Voluntary Aided School,Primary
1988,Barnet,Kerem School,37.2,Other Independent School,Not applicable
1959,Barnet,Alma Primary,37,Free Schools,Primary
1914,Barnet,St James' Catholic High School,36.7,Voluntary Aided School,Secondary
1899,Barnet,Claremont Primary School,36.6,Community School,Primary
1880,Barnet,Hendon School,36.5,Academy Converter,Secondary
1843,Barnet,Childs Hill School,36.3,Community School,Primary
1842,Barnet,The King Alfred School,36.3,Other Independent School,Not applicable
1841,Barnet,London Academy,36.3,Academy Sponsor Led,Secondary
1811,Barnet,St Theresa's Catholic Primary School,36.1,Voluntary Aided School,Primary
1800,Barnet,Blessed Dominic RC School,36,Voluntary Aided School,Primary
1799,Barnet,Martin Primary School,36,Community School,Primary
1788,Barnet,Nancy Reuben Primary School,35.9,Other Independent School,Not applicable
1787,Barnet,Parkfield Primary School,35.9,Academy Sponsor Led,Primary
1745,Barnet,Woodhouse College,35.7,Further Education,16 Plus
1725,Barnet,St Martin's School,35.6,Other Independent School,Not applicable
1724,Barnet,Barnet and Southgate College,35.6,Further Education,16 Plus
1704,Barnet,Courtland School,35.5,Community School,Primary
1703,Barnet,Sunnyfields Primary School,35.5,Community School,Primary
1702,Barnet,Akiva School,35.5,Voluntary Aided School,Primary
1687,Barnet,Susi Earnshaw Theatre School,35.4,Other Independent School,Not applicable
1686,Barnet,Christ's College Finchley,35.4,Academy Converter,Secondary
1685,Barnet,Rimon Jewish Primary School,35.4,Free Schools,Primary
1659,Barnet,Manorside Primary School,35.3,Community School,Primary
1658,Barnet,Talmud Torah Tiferes Shlomoh,35.3,Other Independent School,Not applicable
