URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100000,Sir John Cass's Foundation Primary School,City of London,62.60,3.5,51.513662,-0.077486
100008,Argyle Primary School,Camden,58.80,5.4,51.52875,-0.124037
100009,Beckford Primary School,Camden,39.4,3.8,51.550672,-0.199485
100010,Brecknock Primary School,Camden,43.9,5.3,51.547464,-0.127828
100011,Brookfield Primary School,Sutton,30.5,4.1,51.563391,-0.145062
100012,Carlton Primary School,Camden,38.5,4.1,51.551599,-0.150013
100013,Edith Neville Primary School,Camden,41.6,3.9,51.532766,-0.131139
100014,Fleet Primary School,Camden,47,4,51.553461,-0.160943
100019,New End Primary School,Camden,38.8,4.7,51.558138,-0.176537
100020,Primrose Hill School,Camden,39.1,4.1,51.539173,-0.1518
100021,Rhyl Primary School,Camden,42.7,5.1,51.547714,-0.150589
100022,Richard Cobden Primary School,Camden,50.9,5,51.535595,-0.13639
100023,Torriano Primary School,Camden,40.9,3.8,51.549672,-0.13284
100025,Gospel Oak Primary School,Camden,41.9,3.8,51.554622,-0.152963
100026,Fitzjohn's Primary School,Camden,43.3,3.7,51.553397,-0.175861
100027,Eleanor Palmer Primary School,Camden,41.8,2.5,51.554367,-0.139096
100028,Christ Church Primary School,Barnet,25.2,3.3,51.657673,-0.213315
100029,Christ Church School,Camden,44.5,3.2,51.530773,-0.144369
100030,Emmanuel Church of England Primary School,Camden,40.7,4.6,51.551901,-0.194802
100031,Hampstead Parochial Church of England Primary School,Camden,41.9,3.5,51.556441,-0.179028
100032,Holy Trinity CofE Primary School,Merton,32.8,3.7,51.422484,-0.195002
100034,Kentish Town Church of England Primary School,Camden,45,4.1,51.549721,-0.139271
100035,Rosary Roman Catholic Primary School,Camden,44.5,3.7,51.551617,-0.166081
100036,St Alban's Church of England Primary School,Camden,50.6,3.3,51.520172,-0.111172
100040,St George the Martyr Church of England Primary School,Camden,46.4,3.5,51.521998,-0.116257
100042,St Mary's Kilburn Church of England Primary School,Camden,41.6,3.3,51.540368,-0.193355
100043,St Mary and St Pancras Church of England Primary School,Camden,44.3,4.6,51.531714,-0.13378
100044,St Michael's Church of England Primary School,Lewisham,32.7,5.5,51.429754,-0.04178
100045,St Patrick's Catholic Primary School,Waltham Forest,37.1,5,51.584909,-0.036141
100046,St Paul's Church of England Primary School,Camden,41.2,3.7,51.541383,-0.163738
100047,St Eugene de Mazenod Roman Catholic Primary School,Camden,41.2,3.7,51.541151,-0.193804
100048,Our Lady Roman Catholic Primary School,Camden,47.5,5,51.539046,-0.136797
100049,Haverstock School,Camden,44.9,5.7,51.544842,-0.154354
100050,Parliament Hill School,Camden,39.6,4.3,51.558445,-0.149649
100051,Regent High School,Camden,45.5,6.4,51.533057,-0.133423
100052,Hampstead School,Camden,34.4,5.4,51.555614,-0.207047
100053,Acland Burghley School,Camden,40.6,6.5,51.557418,-0.139624
100054,The Camden School for Girls,Camden,44.6,4.7,51.545988,-0.134693
100056,William Ellis School,Camden,36.4,5.5,51.558701,-0.150262
100059,La Sainte Union Catholic Secondary School,Camden,39.8,4.7,51.559998,-0.149441
100113,Bannockburn Primary School,Greenwich,38.1,4.1,51.486805,0.096032
100114,Morden Mount Primary School,Greenwich,39,4.3,51.470157,-0.014421
100115,Cherry Orchard Primary School,Greenwich,35.4,2.9,51.475826,0.033664
100120,Ealdham Primary School,Greenwich,37.3,4.4,51.456733,0.035277
100125,Fossdene Primary School,Greenwich,35.2,4,51.483893,0.026893
100126,Gallions Mount Primary School,Greenwich,32.6,3.9,51.483953,0.09812
100127,Gordon Primary School,Greenwich,32.8,3.8,51.555977,0.087454
100129,Haimo Primary School,Greenwich,45.2,4.1,51.45539,0.041637
100131,Henwick Primary School,Greenwich,33.2,4.8,51.462784,0.042586
100134,Invicta Primary School,Greenwich,47.3,4.3,51.478975,0.020569
100136,Kidbrooke Park Primary School,Greenwich,34.1,5.6,51.470024,0.032182
100137,Meridian Primary School,Greenwich,42.4,3.5,51.48421,-0.000516
100140,Plumcroft Primary School,Greenwich,31.3,4.2,51.477018,0.073966
100141,Sherington Primary School,Greenwich,38.8,3.2,51.480091,0.025688
100142,Thorntree Primary School,Greenwich,32.7,2.9,51.487504,0.041616
100146,Wyborne Primary School,Greenwich,32.2,4.2,51.439851,0.070355
100149,Montbelle Primary School,Greenwich,30.1,3.6,51.427465,0.061826
100150,Boxgrove Primary School,Greenwich,30.5,3.5,51.493264,0.11644
